I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
4953,,1982,11,16,23,41,21,21,5.5,,5.5,5.6,,,,8,MACEDONIA,,"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",40.883,19.59
4954,,1982,12,13,9,12,48,5,6,,6,6,,,,8,YEMEN,,YEMEN:  DHAMAR,14.701,44.379
4957,,1982,12,16,0,40,48.7,36,6.6,,6.6,6.2,,,,,AFGHANISTAN,,AFGHANISTAN:  NORTHEASTERN,36.148,69.011
4958,Tsu,1982,12,19,17,43,54.8,33,7.7,,7.7,5.9,,,,,TONGA,,TONGA TRENCH,-24.133,-175.864
4959,Tsu,1982,12,25,12,28,2.8,33,5.9,,5.9,5.5,,,,,INDONESIA,,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08
6462,Tsu,1982,12,28,6,37,42.5,22,6.1,,6.1,5.9,,,,,JAPAN,,JAPAN:  S. OF HONSHU ISLAND,33.826,139.434
7283,Tsu,1983,1,17,12,41,29.7,14,7.2,,7.2,6.1,,,,,GREECE,,GREECE: IONIAN SEA,38.026,20.228
4960,,1983,1,24,8,17,39.6,57,6.7,,6.7,6.3,,,,7,MEXICO,,MEXICO:  OAXACA:   SALINA CRUZ,16.147,-95.232
4962,,1983,2,13,1,40,10.9,16,6.2,,6.2,5.6,,,,8,CHINA,,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE: WUQUA S,39.945,75.135
4964,,1983,2,26,20,7,49.9,49,5.2,,5.2,5.3,,,,7,TAJIKISTAN,,"TAJIKISTAN:  GARM, KHAZORA",38.841,70.727
6463,Tsu,1983,3,12,1,36,35.8,17,6.5,,6.5,6,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4.056,127.924
4965,Tsu,1983,3,18,9,5,50,89,7.6,,7.6,6.5,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,-4.883,153.581
4966,,1983,3,23,23,51,6.5,19,6.2,,6.2,5.8,,,,7,GREECE,,GREECE: VONITSA,38.294,20.262
4972,,1983,4,3,2,50,1.1,37,7.3,,7.3,6.5,,,,,COSTA RICA,,"COSTA RICA:  SE, PANAMA: W",8.717,-83.123
4973,,1983,4,4,2,51,34.3,79,6.6,,,6.6,,,,7,INDONESIA,,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722
4974,,1983,4,5,6,50,33.4,33,5.6,,5.6,5.5,,,,,CHINA,,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  WUQUA,40.025,75.26
4975,,1983,4,12,12,7,54.5,104,6.5,,,6.5,,,,,PERU,,PERU:  CHIMBOTE,-4.843,-78.103
4976,,1983,4,22,0,37,37,10,5.9,,5.9,5.9,,,,,THAILAND,,THAILAND:  BANGKOK,14.926,99.023
4977,,1983,5,2,23,42,37.7,10,6.2,,6.2,6.2,,,,8,USA,CA,"CALIFORNIA:  CENTRAL, COALINGA",36.219,-120.317
4978,Tsu,1983,5,26,2,59,59.6,24,7.7,,7.7,6.8,,,,8,JAPAN,,JAPAN:  HONSHU:  AKITA,40.462,139.102
6464,Tsu,1983,6,9,12,49,3.8,26,5.9,5.9,5.6,6.3,,,,,JAPAN,,"NOSHIRO, JAPAN",40.249,138.948
6465,Tsu,1983,6,21,6,25,27.3,10,6.9,,6.9,6.7,,,,,JAPAN,,JAPAN:  N. HONSHU ISLAND,41.346,139.099
4980,,1983,7,3,17,14,23.1,33,6.2,,6.2,5.9,,,,9,COSTA RICA,,COSTA RICA:  SAN JOSE,9.652,-83.688
4981,,1983,7,5,12,1,27.3,10,6.1,,6.1,5.7,,,,8,TURKEY,,"TURKEY:  NW, BIGA, ERDEK, ISTANBUL",40.324,27.222
4982,,1983,7,12,15,10,3.4,37,6.1,,6.1,6.1,,,,6,USA,AK,ALASKA:  PRINCE WILLIAM SOUND,61.031,-147.286
4983,,1983,7,22,2,41,0.8,41,5,,5,5.6,,,,6,IRAN,,"IRAN:  NW, ZANJIN",36.948,49.18
4985,Tsu,1983,8,6,15,43,51.2,2,7,,7,6.2,,,,6,GREECE,,GREECE:  AEGEAN SEA,40.142,24.766
7284,,1983,8,8,3,47,57.1,25,5.3,,5.3,5.9,,,,,JAPAN,,JAPAN:  HONSHU:  S COAST,35.5,139.07
6549,Tsu,1983,8,17,10,55,54.1,63,6.5,,6.5,6.6,,,,,RUSSIA,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,55.867,161.287
4987,Tsu,1983,8,17,12,17,56,29,6.5,,6.5,6.2,,,,8,PHILIPPINES,,PHILIPPINES:  LUZON,18.231,120.86
4989,,1983,9,10,6,14,22.4,10,5.1,,,5.1,,,,8,SERBIA AND MONTENEGRO,,BALKANS NW:  SERBIA,43.246,20.859
4990,,1983,10,3,13,33,35,12,6,,6,5.8,,,,8,JAPAN,,"JAPAN:  MIYAKEJIMA, OSHIMA",33.941,139.513
4991,Tsu,1983,10,4,18,52,13.3,15,7.3,,7.3,6.4,,,,7,CHILE,,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563
4992,,1983,10,16,5,32,28.7,40,6,,6,6,,,,,INDONESIA,,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052
4993,,1983,10,25,0,36,23.4,33,6.1,,6.1,5.8,,,,7,INDONESIA,,INDONESIA:  CENTRAL SULAWESI,1.131,120.858
5677,,1983,10,28,14,6,6.5,14,7.3,,7.3,6.2,7.2,,,9,USA,ID,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916
4999,,1983,10,30,4,12,27.1,12,6.9,,6.9,6.1,,,,,TURKEY,,"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN",40.33,42.187
5001,,1983,10,30,16,51,57,27,5.2,,5.2,5.2,,,,6,JAPAN,,"JAPAN:  TOTTORI, YONANGO",35.464,133.899
5002,,1983,11,6,21,9,45.2,19,5.3,,5.3,5.7,,,,7,CHINA,,"CHINA:  E, HEZE-DONGMING, SHANDONG PROVINCE",35.206,115.213
5004,,1983,11,8,0,49,32.1,10,5,,,5,,,,7,BELGIUM,,BELGIUM,50.696,5.346
5005,,1983,11,9,16,29,51.6,37,5,,5,5.1,,,,8,ITALY,,"ITALY:  N, PARMA",44.689,10.317
5006,,1983,11,16,16,13,    ,12,6.7,,6.7,6.4,,,,8,USA,HI,HAWAII: KAPAPALA,19.43,-155.454
5007,Tsu,1983,11,30,17,46,0.6,10,7.6,,7.6,6.6,,,,6,UK TERRITORY,,INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA,-6.852,72.11
5009,,1983,12,22,1,2,2.4,26,6.4,,6.4,5.7,,,,5,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  ULAWUN, RABAUL",-5.392,151.868
5011,,1983,12,22,4,11,29.2,11,6.2,,6.2,6.4,,,,9,GUINEA,,GUINEA:  GAOUAL-KOUMBIA,11.866,-13.529
5018,,1983,12,30,23,52,39.9,215,7.2,,,7.2,,,,7,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.372,70.738
5019,Tsu,1984,1,8,15,24,13.5,33,6.6,,6.6,6,,,,,INDONESIA,,INDONESIA:  SULAWESI:  W,-2.823,118.806
5022,,1984,2,1,14,22,7.9,33,5.8,,5.8,5.9,,,,4,AFGHANISTAN,,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",34.616,70.484
5024,,1984,2,7,21,33,21.4,18,7.5,,7.5,6.6,,,,6,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,-10.012,160.469
6817,Tsu,1984,2,11,8,2,51.5,29,5.4,,5.4,5.3,5.1,,,,GREECE,,GREECE:  MANAGOULI-AIYION,38.396,22.094
5027,,1984,2,16,17,18,41.6,208,6.1,,,6.1,,,,6,PAKISTAN,,PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI,36.431,70.826
5028,,1984,3,19,20,28,38.2,15,7,,7,6.5,,,,9,UZBEKISTAN,,UZBEKISTAN:  GAZLI,40.32,63.35
6466,Tsu,1984,3,24,9,44,2.6,44,7,,7,6.1,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.117,148.192
5029,,1984,3,27,20,6,33.2,28,6.6,,6.6,5.8,,,,8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  KARKAR,-4.647,145.805
5030,,1984,4,24,21,15,19,8,6.1,,6.1,5.7,6.2,,,8,USA,CA,CALIFORNIA:  CENTRAL:  MORGAN HILL,37.32,-121.698
5035,,1984,4,29,5,3,    ,12,5.3,,5.3,5.2,,,,8,ITALY,,ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO,43.26,12.558
5036,,1984,5,7,17,49,41.6,10,5.8,,5.8,5.5,,,,8,ITALY,,ITALY:  S CENTRAL:  ABRUZZO,41.765,13.898
5038,,1984,5,11,10,41,49.9,14,5.2,,5.2,5.2,,,,8,ITALY,,ITALY:  S CENTRAL:  ABRUZZO,41.831,13.961
5039,,1984,5,13,12,45,55.8,30,5.1,,5.1,5.1,,,,7,BOSNIA-HERZEGOVINA,,BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK,42.967,17.734
6652,Tsu,1984,6,13,2,29,25.3,41,5.5,,5.5,5.5,,,,,JAPAN,,"JAPAN:  TORI SHIMA, OKINAWA",31.448,140.036
5040,,1984,6,24,11,17,11.9,24,6.7,,6.7,6,,,,5,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC:  SANTO DOMINGO,17.984,-69.338
5041,Tsu,1984,8,6,19,6,38.3,46,6.7,,6.7,6.3,,,,6,JAPAN,,JAPAN:  KYUSHU:  NOBEOKA,32.386,131.945
5043,,1984,8,27,6,41,26.2,33,5.2,,5.2,5.1,,,,,INDONESIA,,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075
5046,,1984,9,13,23,48,49.9,10,6.1,,6.1,6,,,,6,JAPAN,,JAPAN:  HONSHU:  CENTRAL: MT ONTAKE,35.789,137.488
5047,,1984,9,18,13,26,1.8,10,6.4,,6.4,5.3,,,,8,TURKEY,,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",40.885,42.219
6467,Tsu,1984,9,18,17,2,44.3,48,6.9,,6.9,6.6,,,,,JAPAN,,JAPAN:  HONSHU ISLAND,34.006,141.5
5050,,1984,10,18,9,46,24.6,60,5.3,,,5.3,,,,,TURKEY,,"TURKEY:  E, SENKAYA",40.545,42.403
5051,,1984,10,18,15,30,23,33,5.1,,5.1,5.4,,,,6,USA,WY,"WYOMING:  DOUGLAS, MEDICINE BOW",42.375,-105.72
5052,,1984,10,26,20,22,21.8,33,6.1,,6.1,6,,,,7,TAJIKISTAN,,"TAJIKISTAN:  DZHIRGATAL, GARM",39.155,71.328
6330,Tsu,1984,12,28,10,37,53.7,33,7,,7,6.2,,,,,RUSSIA,,RUSSIA:  KAMCHATKA,56.2,163.4
5053,,1984,12,30,23,33,37.7,23,5.6,,,5.6,,,,,INDIA,,"INDIA:  ASSAM, CACHAR DISTRICT",24.641,92.891
5054,,1985,1,26,3,6,57.8,5,6.9,,6.9,6,,,,7,ARGENTINA,,"ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA",-33.053,-68.467
5055,,1985,2,2,20,52,34.2,37,5.3,,5.3,5.2,,,,,IRAN,,"IRAN:  S, FIRUZABAD-JAHROM",28.399,52.997
5056,Tsu,1985,3,3,22,47,9.5,40,8,8,7.8,6.7,,,,8,CHILE,,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708
5059,Tsu,1985,3,16,14,54,0.7,13,6.3,,6.3,6.3,,,,6,GUADELOUPE,,GUADELOUPE,17.013,-62.448
5060,,1985,3,17,10,41,38.4,33,6.6,,6.6,5.9,,,,7,CHILE,,"CHILE:  VALPARAISO, VINA DEL MAR",-32.663,-71.551
5061,,1985,3,18,19,49,45.8,33,6.5,,6.5,6,,,,5,PHILIPPINES,,"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",7.758,123.544
5062,,1985,4,9,1,56,59.4,38,7.5,,7.5,6.3,,,7,6,CHILE,,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",-34.131,-71.618
5063,Tsu,1985,4,13,1,6,0.1,99,6.2,,,6.2,,,,,INDONESIA,,"INDONESIA:  DENPASAR, BALI",-9.245,114.185
5064,,1985,4,18,5,52,52.8,5,5.8,,5.8,5.7,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,25.926,102.871
5066,,1985,4,24,1,7,14.5,33,6.1,,6.1,5.6,,,,7,PHILIPPINES,,"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO",16.498,120.815
5067,,1985,4,30,18,14,12.7,27,5.5,,5.5,5.5,,,,6,GREECE,,GREECE:  MAGNISIA,39.266,22.81
5068,,1985,5,10,15,35,50.5,27,7.1,,7.1,6.3,,,,8,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",-5.599,151.045
5069,Tsu,1985,7,3,4,36,51.7,46,7.2,,7.2,6.3,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,-4.439,152.828
5070,,1985,7,29,7,54,44,99,6.6,,,6.6,,,,8,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",36.19,70.896
5071,,1985,8,21,11,26,28.7,57,6.1,,,6.1,,,,,PERU,,PERU:  COAST:  CHIMBOTE,-9.159,-78.887
5072,,1985,8,23,12,41,56.1,7,7.5,,7.5,6.4,,,,7,CHINA,,CHINA:  S XINJIANG:  WUQUA-SHUFU,39.431,75.224
5074,,1985,9,15,2,42,54.8,10,6.3,,6.3,5.9,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049
5076,Tsu,1985,9,19,13,17,47.3,28,8.1,,8.1,6.8,,,,9,MEXICO,,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533
5078,Tsu,1985,9,21,1,37,13.4,31,7.6,,7.6,6.3,,,,6,MEXICO,,MEXICO:  SW COAST:  MEXICO CITY,17.802,-101.647
5079,,1985,9,27,3,39,8.5,32,6.9,,6.9,6.2,,,,7,SOLOMON ISLANDS,,"SOLOMON ISLANDS:  HONIARA, GUADACANAL",-9.829,159.854
5080,,1985,9,28,14,50,15.2,7,5,,,5,,,,7,MACEDONIA,,BALKANS NW:  MACEDONIA:  DEMIR KAPIJA-NEGOTINO,41.581,22.254
5082,,1985,10,13,15,59,51.2,16,5.9,,5.9,5.8,,,,9,TAJIKISTAN,,"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV",40.301,69.823
5083,,1985,10,27,19,34,57.1,10,5.9,,5.9,5.5,,,,,ALGERIA,,ALGERIA:  ANNABA-SETIF-SOUK,36.46,6.761
5085,,1985,11,17,9,40,21.2,10,7.1,,7.1,6,,,,8,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911
5086,,1985,11,28,3,49,54.1,33,7.6,,7.6,6.3,,,,,VANUATU,,VANUATU ISLANDS,-13.987,166.185
5087,,1985,12,16,2,44,36,22,6,,6,5.9,,,,6,NICARAGUA,,"NICARAGUA:  RIVAS,  MASAYA",11.725,-85.838
5088,,1985,12,21,1,13,22.4,43,7.6,,7.6,6,,,,,VANUATU,,VANUATU ISLANDS,-13.966,166.516
5089,,1986,1,11,19,42,21.9,39,5.3,,,5.3,,,,4,PERU,,"PERU:  HUARMEY, CASMA, HUARAX, CHIMBOTE",-9.505,-77.512
5090,,1986,1,29,11,56,34.6,33,5,,,5,,,,,INDONESIA,,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461
5093,,1986,4,26,7,35,16.1,33,5.3,,5.3,5.5,,,,,INDIA,,"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN",32.128,76.374
5094,,1986,5,5,3,35,38.8,10,5.9,,5.9,5.9,,,,,TURKEY,,"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE",37.993,37.806
5095,Tsu,1986,5,7,22,47,10.8,19,8,8,7.7,6.4,,,,6,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  ADAK,51.52,-174.776
5096,,1986,5,13,8,44,2.1,10,5.7,,5.7,5.7,,,,7,GEORGIA,,"GEORGIA:  AKHALKALAKI, SUSUZ",41.431,43.737
5097,,1986,5,15,14,38,9.2,18,5.2,,,5.2,,,,,PAKISTAN,,"PAKISTAN:  BARKHAM, MATAKARI, HAMTAROT",29.627,69.363
6468,Tsu,1986,5,17,16,20,22.2,26,6.4,6.4,6.6,5.8,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,52.327,-174.504
5098,,1986,5,20,5,25,46.9,19,6.4,,6.4,6.1,,,,,TAIWAN,,TAIWAN:  HUALIEN,24.125,121.619
5099,,1986,6,11,13,48,1.3,19,6.2,,6.2,6,,,,7,VENEZUELA,,VENEZUELA,10.597,-62.928
7877,,1986,6,24,3,11,30.9,102,7.1,,7.1,6.6,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-4.448,143.943
5100,,1986,7,8,9,20,44.5,12,6,,6,5.8,,,,7,USA,CA,CALIFORNIA:  PALM SPRINGS,34,-116.61
5101,,1986,7,12,7,54,26.8,10,5.6,,5.6,5.7,,,,,IRAN,,"IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ",29.962,51.582
5102,,1986,7,13,13,47,8.2,6,5.8,,5.8,5.6,5.3,,,6,USA,CA,"CALIFORNIA:  SAN DIEGO, NEWPORT BEACH",32.97,-117.869
5105,,1986,7,21,14,42,26.6,9,6.2,,6.2,6,,,,6,USA,CA,CALIFORNIA-NEVADA:  CHALFANT VALLEY,37.537,-118.447
5107,,1986,8,30,21,28,35.4,132,6.9,,6.9,6.4,,,,8,ROMANIA,,"ROMANIA:  BUCHAREST, KISHINEV-KAGUL",45.547,26.316
5108,,1986,9,13,17,24,31.4,11,5.8,,5.8,6,,,,10,GREECE,,"GREECE:  KALAMI, LAKONIA, ZAKINTHOS",37.014,22.176
5111,,1986,10,10,17,49,24.1,7,5.4,,5.4,5,,,,,EL SALVADOR,,EL SALVADOR:  SAN SALVADOR,13.827,-89.118
5113,,1986,10,11,9,0,10.5,5,5.5,,5.5,5.5,,,,,TURKEY,,"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA",37.931,28.574
5115,Tsu,1986,10,20,6,46,9.9,29,8.1,,8.1,6.6,,,,,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS:  RAOUL,-28.117,-176.367
5116,Tsu,1986,11,14,21,20,10.5,34,7.8,,7.8,6.3,,,,8,TAIWAN,,"TAIWAN:  TAIPEI, HUALIEN",23.901,121.574
5117,,1986,11,25,13,59,42.3,30,5.5,,5.5,5.3,,,,8,BOSNIA-HERZEGOVINA,,"BALKANS NW:  BOSNIA-HERZEGOVINA: STRMICA, KNIN",44.12,16.339
5119,,1986,12,7,14,17,9.5,21,5.6,,5.6,5.2,,,,7,BULGARIA,,BULGARIA:  VELIKO TURNOVO-TURGOVISHTE,43.274,25.912
5120,,1986,12,19,5,47,29,33,5,,,5,,,,3,CHILE,,"CHILE:  CENTRAL, VALPARAISO",-33.071,-72.084
5121,,1986,12,20,23,47,8.9,26,5,,5,5.5,,,,,IRAN,,"IRAN:  S MAMASANI, SHIRAZ, NORABAD",29.985,51.623
5122,,1987,1,5,22,52,46.5,17,5.8,,5.8,5.9,,,,,CHINA,,CHINA:  S XINJIANG PROVINCE:  BAICHENG,41.964,81.319
5123,,1987,1,24,8,9,21.3,29,5.9,,5.9,5.9,,,,,CHINA,,"CHINA:  XINGJIANG WEIWUER ZIZHIQU PROVINCE, WUSHI",41.529,79.318
6631,Tsu,1987,2,6,13,16,17.8,48,6.3,,6.3,6.1,,,,,JAPAN,,JAPAN:  EAST COAST HONSHU,36.988,141.689
5126,Tsu,1987,2,8,18,33,58.3,55,7.6,,7.6,,,,,7,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND",-6.088,147.689
5127,,1987,3,2,1,42,34.1,19,6.6,,6.6,5.9,,,,10,NEW ZEALAND,,"NEW ZEALAND:  NORTH ISLAND, WHAKATANI, EDGECUMBE",-37.965,176.765
5129,Tsu,1987,3,5,9,17,5.2,62,7.3,,7.3,6.5,,,,6,CHILE,,"CHILE:  ANTOFAGASTA, ARICA",-24.388,-70.161
5130,,1987,3,6,4,10,44.4,10,7.2,7.2,6.9,6.5,,,,,ECUADOR,,"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN",0.083,-77.785
5132,Tsu,1987,3,18,3,36,30.3,54,6.7,,6.7,6.4,,,,,JAPAN,,"JAPAN:  KYUSHU:  MIYAZAKI, NAZE",32.034,131.837
6469,Tsu,1987,3,24,12,49,47,23,5.1,,5.1,5.7,,,,,JAPAN,,JAPAN:  HONSHU ISLAND,37.447,137.865
5133,,1987,4,25,12,16,52.4,107,6.3,,,6.3,,,,5,PHILIPPINES,,"PHILIPPINES:  MANILA, CUBI POINT",16.066,120.301
5134,,1987,4,25,19,22,7.2,11,6.6,,6.6,5.9,,,,,INDONESIA,,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",2.244,98.866
5135,,1987,5,23,17,9,4.4,32,5.2,,5.2,5.1,,,,2,PHILIPPINES,,PHILIPPINES:  MINDANAO:  TALAKAG-MALAYBALAY,8.047,125.41
6818,Tsu,1987,6,18,14,3,16.7,75,6.3,6.3,,6,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.717,162.33
6819,Tsu,1987,7,6,2,49,42.7,48,6.6,,6.6,5.9,,,,,VANUATU,,VANUATU ISLANDS,-14.074,167.828
5138,,1987,8,8,15,48,56.7,70,6.9,,6.9,6.4,,,,7,CHILE,,"CHILE:  ARICA, IQUIQUE",-19.022,-69.991
5139,,1987,8,13,15,23,6.9,37,6.4,,6.4,6.1,,,,5,PERU,,"CHILE:  ARICA; PERU:  AREQUIPA, TACNA",-17.897,-70.931
5140,,1987,9,3,6,40,13.9,33,7.7,,7.7,5.9,,,,,AUSTRALIA,TAS,AUSTRALIA:  MACQUARIE ISLAND,-58.893,158.513
5142,,1987,9,22,13,43,37.6,10,6.2,,6.2,6.1,,,,,ECUADOR,,"ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA",-0.978,-78.05
5143,,1987,10,1,14,42,20,10,5.7,,5.7,5.8,5.9,,,8,USA,CA,CALIFORNIA:  WHITTIER,34.061,-118.078
5145,,1987,10,2,22,27,55.8,20,5.1,,5.1,5.4,,,,4,PERU,,"PERU:  SANTAOG DE CHUCO, TRUJILLO, CHIMBOTE",-8.143,-77.954
6470,Tsu,1987,10,6,4,19,6,16,7.3,,7.3,6.7,,,,,TONGA,,TONGA ISLANDS,-17.94,-172.225
6471,Tsu,1987,10,12,13,57,4.7,25,6.8,,6.8,6.3,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  SOLOMON SEA,-7.288,154.371
5147,Tsu,1987,10,16,20,48,1.6,48,7.7,,7.7,5.9,,,,8,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, KIMBTE",-6.266,149.06
6472,Tsu,1987,11,17,8,46,53.3,10,7.2,7.2,6.9,6.6,,,,,USA,AK,ALASKA:  GULF OF ALASKA,58.586,-143.27
5148,,1987,11,24,1,54,14.5,5,6.2,,6.2,5.7,,,,6,USA,CA,CALIFORNIA:  SUPERSTITION HILLS,33.082,-115.775
5150,Tsu,1987,11,26,1,43,14,33,6.5,,6.5,5.8,,,,,INDONESIA,,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",-8.247,124.155
5152,Tsu,1987,11,30,19,23,19.5,10,7.9,7.9,7.6,6.7,,,,6,USA,AK,ALASKA:  YAKUTAT,58.679,-142.786
5153,,1987,12,17,2,8,19.9,63,6,,,6,,,,8,JAPAN,,"JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO",35.362,140.214
5154,,1988,1,3,21,32,25.3,14,5.5,,,5.5,5.7,,,,CHINA,,CHINA:  LINGWU,38.111,106.336
5155,,1988,1,9,1,2,46.7,24,5.8,,5.8,5.3,,,,7,ALBANIA,,"ALBANIA:  TIRANA, ULCINJ-BAR",41.246,19.63
5156,,1988,1,22,0,35,58,5,6.3,,6.3,6.1,,,,,AUSTRALIA,,AUSTRALIA:  TENNANT CREEK,-19.847,133.803
5157,,1988,1,22,12,4,57.8,5,6.7,,6.7,6.5,,,,9,AUSTRALIA,,AUSTRALIA:  TENNANT CREEK,-19.829,133.882
6473,Tsu,1988,2,5,14,1,2.7,37,6.7,,6.7,6.2,,,,,CHILE,,CHILE:  TALTAL,-24.753,-70.433
5158,,1988,2,6,14,50,45.2,33,5.8,,5.8,5.8,,,,,BANGLADESH,,BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM,24.688,91.57
5159,Tsu,1988,3,6,22,35,36.9,15,7.8,7.8,7.6,6.8,7.4,,,5,USA,AK,ALASKA:  GULF OF ALASKA:  ANCHORAGE,57.262,-142.747
5160,,1988,3,30,2,12,42.8,33,5.7,,5.7,5.4,,,,,IRAN,,"IRAN:  DEH DASHT, BAHBAHAN",30.89,50.194
5161,,1988,6,19,20,19,52.6,17,6.2,6.2,6.4,5.6,,,,7,PHILIPPINES,,"PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN",12.376,121.067
6474,Tsu,1988,6,24,2,6,26.3,53,5.4,,,5.4,,,,,PHILIPPINES,,PHILIPPINES:  LUZON:  LAOAG,18.606,121.013
5162,Tsu,1988,7,5,20,32,7.2,53,6.8,,6.8,6,,,,5,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, ARAWE",-5.964,148.78
5163,,1988,7,20,23,15,36.6,51,5.7,,5.7,5.8,,,,,TAIWAN,,"TAIWAN:  HUALIEN, SU-HUA",23.902,121.598
5164,Tsu,1988,8,6,0,36,24.6,91,7.2,,7.2,6.8,,,,6,MYANMAR (BURMA),,"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL",25.149,95.127
5165,Tsu,1988,8,10,4,38,29.2,36,7.6,7.6,7.4,6,,,,,SOLOMON ISLANDS,,"SOLOMON ISLANDS:  SAN CRISTOBAL, GUADALCANAL",-10.258,160.896
5166,,1988,8,11,16,4,45.6,33,6.1,,6.1,5.7,,,,,IRAN,,"IRAN:  S, MAMASANI, BUSHEHR, NURABAD",29.974,51.679
5167,,1988,8,20,23,9,9.5,57,6.6,,6.6,6.4,,,,8,NEPAL,,"NEPAL-INDIA:  KATHMANDU, BIHAR",26.755,86.616
5171,,1988,9,25,20,52,14.7,11,5,,5,5.5,,,,6,TAJIKISTAN,,"TAJIKISTAN:  ROSHTKALA, KHOROG",37.18,71.811
5172,,1988,10,16,12,34,5.6,25,5.8,,5.8,5.5,,,,8,GREECE,,"GREECE:  IONIAN SEA:  KILINI, VARTHOLOMION",37.938,20.932
