I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
2713,,1905,5,18,13,45,    ,60,7.5,,,,,,7.5,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149
2715,,1905,6,1,4,42,,20,6.6,,,,,,6.6,10,ALBANIA,,ALBANIA:  SHKODER,42.1,19.6
2717,,1905,6,2,5,39,42,100,7.8,,7.8,,,,,,JAPAN,,JAPAN:  AKI,34,132
2718,,1905,6,30,17,7,    ,60,7.6,,,,,,7.6,,KIRIBATI,,KIRIBATI:  PHOENIX ISLANDS,-1,-168
2719,Tsu,1905,7,6,16,21,    ,33,7,,7,,,,,,JAPAN,,JAPAN:  OFF FUKUSHIMA,37.4,142.6
2722,,1905,7,9,9,40,24,33,8.4,8.4,8.3,,,,,,MONGOLIA,,MONGOLIA,49,99
2726,,1905,7,23,2,46,12,33,8.4,8.4,8.7,,,,,,MONGOLIA,,MONGOLIA,49,98
2729,,1905,9,1,2,45,    ,230,7.5,,,,,,7.5,,JAPAN,,JAPAN:  HOKKAIDO,45,143
2732,Tsu,1905,9,8,1,43,,,7.9,,7.9,,,,,10,ITALY,,"ITALY:  MONTELEONE,TROPEA,NONTE PORO",39,16
2735,,1905,9,15,6,2,    ,60,7.8,,,,,,7.8,,RUSSIA,,RUSSIA:  KOMANDORSKY ISLAND,53,164
6506,Tsu,1905,10,4,22,29,,,5.1,,5.1,,,,,7,RUSSIA,,RUSSIA:  BLACK SEA,44.5,37.5
2736,,1905,10,8,7,27,    ,33,6.4,,,,,,6.4,10,BULGARIA,,BULGARIA,42,23
2737,Tsu,1905,10,21,11,1,37,60,7.5,,7.5,,,,,,GEORGIA,,GEORGIA:  CAUCASUS,42,42
8109,,1905,11,8,3,27,,,5,,5,,,,,6,CHINA,,CHINA:  SICHUAN PROVINCE,29.3,104.8
2739,,1905,11,8,21,41,,30,7.8,,7.8,,,,,10,GREECE,,GREECE:  AEGEAN SEA,40.25,24.2
2743,,1905,12,4,7,4,    ,,6.8,,,,,,6.8,9,TURKEY,,"TURKEY:  PUTURGE,CELIKHAN,RUMKALE",38.1,38.6
6245,Tsu,1905,12,8,8,22,,,6.5,,6.5,,,,,,PHILIPPINES,,PHILIPPINES:  W. LUZON ISLAND:  TUBURAN,11,123.5
7992,,1906,1,7,,,,,5.5,,5.5,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,26.6,104.1
2744,,1906,1,21,13,49,35,340,8.4,,8.4,,,,,,JAPAN,,JAPAN:  NEAR S COAST HONSHU,34,138
2748,Tsu,1906,1,31,15,35,51,25,8.6,8.6,8.6,8.2,,,,9,ECUADOR,,ECUADOR:  OFF COAST,1,-81.5
2753,,1906,2,3,,,,,7.7,,7.7,,,,,10,COLOMBIA,,COLOMBIA,3.5,-76.2
2757,,1906,3,1,17,45,    ,15,6.5,,,,,,6.5,10,ALBANIA,,ALBANIA:   ELBASAN,41.1,20
2762,,1906,3,16,22,42,40,,6.8,,6.8,,,,,,TAIWAN,,TAIWAN:  JIAYI,23.6,120.5
8110,,1906,3,28,,,,,6.5,,6.5,,,,,8,CHINA,,CHINA:  FUJIAN PROVINCE,24.5,118.5
2764,,1906,4,10,21,22,    ,60,7.5,,,,,,7.5,,MEXICO,,MEXICO:  REVILLA GIGEDO ISLANDS,19,-113.8
2766,,1906,4,13,19,18,,,6.5,,6.5,,,,,,TAIWAN,,TAIWAN:  JIAYI,23.4,120.4
2768,Tsu,1906,4,18,13,12,21,20,7.9,7.9,7.8,,,,8.3,11,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48
2771,,1906,5,,,,,,5.3,,5.3,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,24.6,98.6
2772,,1906,7,11,,,,,7.7,,7.7,,,,,9,COLOMBIA,,COLOMBIA,4.6,-74
2773,,1906,7,14,10,27,    ,,7.7,,7.7,,,,,9,COLOMBIA,,COLOMBIA,4.6,-74
2777,,1906,8,17,0,10,42,25,7.8,,7.8,,,,8.3,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.05,179.69
2779,Tsu,1906,8,17,0,40,,25,8.2,8.2,8.4,,,,,11,CHILE,,CHILE:  SOUTH CENTRAL,-33,-72
2780,,1906,8,25,,,    ,,6.8,,,,,,6.8,,ETHIOPIA,,ETHIOPIA:  SHOA,9,38.4
2782,Tsu,1906,9,14,16,4,18,33,8,8,7.5,7.8,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-7,149
2784,,1906,9,28,15,24,54,150,7.9,,7.9,,,,,7,ECUADOR,,ECUADOR,-2,-79
2787,Tsu,1906,10,2,1,50,,,7.2,7.2,7.2,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149
2788,,1906,11,19,7,18,    ,,7.8,,,,,,7.8,,AUSTRALIA,,AUSTRALIA:  WEST COAST,-22,109
2789,Tsu,1906,11,20,21,0,,,5,,,,,5,,8,GHANA,,"GHANA:  HO, AKPAFU, PALIME, MISA, ACCRA; TOGO",6.5,0.3
2790,,1906,12,3,22,59,    ,100,7.9,,7.9,,,,,,MARTINIQUE,,MARTINIQUE,15,-61
2794,,1906,12,22,18,21,,33,8.3,,8.3,,,,,9,CHINA,,CHINA:  XINJIANG PROVINCE,43.5,85
2796,,1906,12,23,17,22,,,7.6,,,,,,7.6,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,56.85,-153.9
2798,Tsu,1906,12,26,6,53,28,33,7.9,,7.9,,,,,,PERU,,PERU:  OFF SOUTH COAST,-18,-71
2800,Tsu,1907,1,4,5,19,12,50,7.8,,7.8,,,,,,INDONESIA,,"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS",2,94.5
2801,Tsu,1907,1,14,21,36,    ,,6.5,,,,,,6.5,,JAMAICA,,JAMAICA:  KINGSTON,18.2,-76.8
2803,,1907,2,23,20,17,    ,90,7.6,,,,,,7.6,,PERU,,PERU,-13.2,-75.4
6246,Tsu,1907,3,29,20,46,30,500,7.3,,7.3,,,,,,INDONESIA,,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,3,122
2804,Tsu,1907,4,15,6,8,6,60,8.3,,8.3,,,,,,MEXICO,,MEXICO:  GUERRERO,17,-100
2807,,1907,4,18,20,59,48,,7.6,,7.6,,,,,9,PHILIPPINES,,PHILIPPINES:  SE LUZON:  CAMARINES,14,123
7866,,1907,4,18,23,52,4,,7.4,,7.4,,,,,7,PHILIPPINES,,PHILIPPINES:  SE LUZON:  CAMARINES,13.5,123
2808,,1907,5,4,6,51,    ,60,7.7,,,,,,7.7,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-7.5,153.7
2810,,1907,5,25,14,2,8,600,7.9,,7.9,,,,,,RUSSIA,,RUSSIA:  SEA OF OKHOTSK,51.5,147
2813,,1907,6,25,17,54,36,200,7.9,,7.9,,,,,,INDONESIA,,INDONESIA:  DJAILOLO GILOLO,1,127
