YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1926,9,16,17,59,15,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.674,159.519,2,,1,1.5
1927,3,7,9,27,,JAPAN,,SW. HONSHU ISLAND,35.6,135.1,11.3,,0.4,0.5
1927,6,26,11,20,48,UKRAINE,,"CRIMEA, BLACK SEA",44.4,34.4,0.7,,-0.5,2
1927,7,11,13,4,,ISRAEL,,DEAD SEA,32,35.5,1,,,
1927,8,5,21,13,1.1,JAPAN,,SANRIKU,37.9,142,0.1,,-3.3,
1927,8,18,19,28,,JAPAN,,"KASHIMA, JAPAN",34.2,142,0.4,,-1.3,
1927,9,11,22,15,48,UKRAINE,,"CRIMEA, BLACK SEA",44.4,34.5,1,,,2
1927,11,4,13,50,43,USA,CA,S. CALIFORNIA,34.813,-120.774,1.8,,1,1
1927,12,1,4,37,27,INDONESIA,,SULAWESI,-0.7,119.7,15,,3.9,3
1927,12,28,18,20,34.2,RUSSIA,,KAMCHATKA,55.663,160.039,2,,1,
1927,,,,,,NEW ZEALAND,,"TOLAGA BAY, NORTH ISLAND",-38.37,178.31,6.35,,,
1928,4,22,20,13,46,GREECE,,CORINTHOS-PATRAS GULF,38,23,0.6,,1.1,3
1928,5,27,9,50,0,JAPAN,,SANRIKU,40,143.2,0.45,,-2.3,-2
1928,6,17,3,19,33.1,MEXICO,,S. MEXICO,16.028,-97.036,0.2,,3,1
1928,8,4,,,,INDONESIA,,FLORES SEA,-8.32,121.708,10,,3.3,3
1928,12,1,4,6,12,CHILE,,CENTRAL CHILE,-35,-72,1.5,,0.6,0.5
1929,3,7,1,34,37.9,USA,AK,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",50.88,-169.71,1,,,
1929,5,21,16,35,,JAPAN,,HIUGANADA,31.7,132.2,0.7,,-0.5,
1929,5,26,22,39,54,CANADA,BC,BRITISH COLUMBIA,51,-131,1.5,,0.6,0
1929,6,16,22,47,32,NEW ZEALAND,,TASMAN SEA,-41.75,172.25,2.5,,1.3,1.5
1929,8,9,,,,CHILE,,NORTHERN CHILE,-23.7,-70.4,7.5,,2,2.5
1929,11,18,20,32,,CANADA,NL,"GRAND BANKS, NEWFOUNDLAND",44.69,-56,13,,2.2,
1930,3,17,,,,INDONESIA,,KRAKATAU,-6.102,105.423,500,,,
1930,6,19,13,7,27,INDONESIA,,SOUTH OF JAVA,-5.6,105.3,1.5,,-0.5,
1930,7,19,15,20,12,INDONESIA,,SOUTH OF JAVA,-9.3,114.3,0.1,,-3.3,
1930,8,31,0,40,38,USA,CA,S. CALIFORNIA,34.03,-118.643,3.05,,-1,-0.5
1930,9,11,9,52,,ITALY,,STROMBOLI ISLAND,38.789,15.213,2.5,,,3
1930,11,5,,,,KENYA,,MOMBASA,-4.05,39.667,6,,,
