time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-07T22:43:24.940Z,17.7161,40.296,10,4.8,mb,,55,6.626,1.03,us,us10004vx9,2016-03-11T06:04:36.755Z,"176km SSW of Al Qunfidhah, Saudi Arabia",earthquake,7.7,1.9,0.06,86,reviewed,us,us
2016-03-07T18:31:30.340Z,11.5517,-87.3729,36.35,4.6,mb,,194,1.15,0.92,us,us10004vv5,2016-03-08T02:34:03.650Z,"97km WSW of Masachapa, Nicaragua",earthquake,7.5,11.8,0.062,77,reviewed,us,us
2016-03-07T17:11:25.010Z,14.2011,146.975,10,4.6,mb,,149,1.531,0.58,us,us10004vuu,2016-03-08T01:13:56.327Z,"168km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake,4.4,1.9,0.114,23,reviewed,us,us
2016-03-07T12:23:01.700Z,22.7785,93.968,48.79,4.5,mb,,167,3.38,0.4,us,us10004vu1,2016-03-07T20:25:45.262Z,"32km ESE of Falam, Burma",earthquake,10.8,8.5,0.099,30,reviewed,us,us
2016-03-07T11:43:41.870Z,2.3606,128.3288,139.51,5,mb,,69,1.848,0.96,us,us10004vtx,2016-03-07T17:13:49.473Z,"78km NNE of Tobelo, Indonesia",earthquake,8.8,7.3,0.053,112,reviewed,us,us
2016-03-07T07:37:02.220Z,40.2154,142.3841,35,4.8,mb,,138,1.422,0.84,us,us10004vtk,2016-03-07T12:25:15.278Z,"74km NNE of Miyako, Japan",earthquake,4,1.9,0.047,138,reviewed,us,us
2016-03-07T03:13:58.190Z,20.98,95.0238,100.99,4.6,mb,,46,3.22,1.09,us,us10004vst,2016-03-11T02:57:30.234Z,"24km ENE of Chauk, Burma",earthquake,7.2,4.4,0.049,126,reviewed,us,us
2016-03-07T02:40:25.600Z,31.0281,141.0074,54.72,4.5,mb,,84,2.314,0.93,us,us10004vsp,2016-03-11T02:43:11.560Z,"254km SSE of Hachijo-jima, Japan",earthquake,8.2,6.5,0.059,86,reviewed,us,us
2016-03-06T18:23:03.700Z,-23.9571,179.7251,535.63,4.6,mb,,203,6.375,0.8,us,us10004vps,2016-03-07T02:25:46.082Z,"South of the Fiji Islands",earthquake,14.4,16.2,0.102,29,reviewed,us,us
2016-03-06T16:23:08.040Z,-17.9791,-70.1967,101.13,4.8,mb,,146,1.844,0.52,us,us10004vnu,2016-03-07T00:25:46.346Z,"6km ENE of Tacna, Peru",earthquake,9.5,8.7,0.056,97,reviewed,us,us
