I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
15926	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.521	95.271	60	254			9		5												
15927	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.605	95.389	60	260			9		5												
15928	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.607	95.396	60	260			9		5												
15929	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.614	95.399	60	261			9		5												
15930	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.596	95.373	60	259			9.1		5												
15931	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.559	95.309	60	257			9.2		5												
15932	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.487	95.269	60	250			9.2		5												
15933	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.553	95.304	60	256			9.3		5												
15934	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.597	95.385	60	259			9.3		5												
15935	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.532	95.274	60	255			9.4		5												
15936	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.578	95.344	60	258			9.4		5												
15937	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.578	95.343	60	258			9.5		5												
15938	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.547	95.301	60	256			9.5		5												
15939	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.56	95.317	60	257			9.5		5												
15940	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.497	95.262	60	251			9.5		5												
15941	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.497	95.262	60	251			9.5		5												
15942	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.575	95.325	60	258			9.5		5												
15943	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.594	95.371	60	259			9.5		5												
15944	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.541	95.305	60	255			9.6		5												
15945	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.576	95.345	60	258			9.8		5												
15946	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.481	95.244	60	250			9.8		5												
15947	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.611	95.391	60	260			9.8		5												
15948	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.614	95.398	60	261			9.8		5												
15949	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.501	95.246	60	252			10		5												
15950	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.614	95.398	60	261			10		5												
15951	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.588	95.358	60	259			10		5												
15952	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.59	95.389	60	258			10		5												
15953	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.489	95.264	60	250			10.1		5												
15954	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.536	95.282	60	255			10.2		5												
15955	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.479	95.249	60	250			10.2		5												
15956	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.572	95.325	60	258			10.4		5												
15957	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.584	95.347	60	258			10.4		5												
15958	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.571	95.325	60	258			10.4		5												
15959	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.575	95.326	60	258			10.5		5												
15960	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.593	95.367	60	259			10.6		5												
15961	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.55	95.304	60	256			10.8		5												
15962	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.562	95.317	60	257			10.8		5												
15963	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.594	95.335	60	260			10.8		5												
15964	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.588	95.361	60	259			10.8		5												
15965	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.552	95.294	60	256			11		5												
15966	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.537	95.284	60	255			11		5												
15967	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.605	95.387	60	260			11		5												
15968	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.584	95.349	60	258			11.1		5												
15969	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.561	95.311	60	257			11.2		5												
15970	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.549	95.302	60	256			11.2		5												
15971	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.482	95.265	60	250			11.2		5												
15972	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.576	95.327	60	258			11.3		5												
15973	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.595	95.371	60	259			11.3		5												
15974	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.561	95.311	60	257			11.5		5												
15975	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.565	95.317	60	257			11.5		5												
15976	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.55	95.307	60	256			11.5		5												
15977	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.597	95.376	60	259			11.5		5												
15978	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.483	95.264	60	250			11.5		5												
15979	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.478	95.24	60	250			11.6		5												
15980	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.544	95.295	60	255			11.9		5												
15981	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.534	95.272	60	255			11.9		5												
15982	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.5	95.233	60	252			12		5												
15983	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.556	95.312	60	256			12.2		5												
15984	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.571	95.321	60	258			12.2		5												
15985	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.527	95.276	60	254			12.2		5												
15986	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.553	95.298	60	256			12.4		5												
15987	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.578	95.329	60	258			12.4		5												
15988	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.577	95.329	60	258			12.4		5												
15989	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.556	95.293	60	257			12.6		5												
15990	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.551	95.301	60	256			12.7		5												
15991	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.532	95.289	60	254			12.7		5												
15992	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.543	95.247	60	257			12.8		5												
15993	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.555	95.306	60	256			13		5												
15994	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.473	95.255	60	249			13		5												
15995	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.61	95.397	60	260			13.4		5												
15996	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.489	95.233	60	251			13.5		5												
15997	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.54	95.298	60	255			13.7		5												
15998	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.534	95.292	60	254			13.8		5												
15999	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.539	95.256	60	256			14		5												
16000	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.502	95.229	60	253			14.4		5												
16001	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.479	95.243	60	250			14.8		5												
16002	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.539	95.257	60	256			14.8		5												
16003	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.65	95.42	60	264			14.8		5												
16004	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.611	95.389	60	260			14.9		5												
16005	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.593	95.336	60	260			15		5												
16006	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.507	95.26	60	252			15.4		5												
16007	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.556	95.285	60	257			15.5		5												
16008	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.555	95.286	60	257			16.1		5												
16009	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.61	95.397	60	260			16.2		5												
16010	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.611	95.39	60	260			16.6		5												
16011	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.479	95.245	60	250			16.7		5												
16012	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.479	95.242	60	250			16.7		5												
19740	2439	2004	12	26		TANZANIA		MIRINGONI, MOHELI	-12.304	43.63465	60	6026			3.5		5										1		
19741	2439	2004	12	26		TANZANIA		MAJIKAVO-KOROPA, MAYOTTE	-12.74395	45.22052	60	5871			2.65		5												
19742	2439	2004	12	26		TANZANIA		KOUNGOU, EAST, MAYOTTE	-12.73467	45.20828	60	5872			4.05		5												
19743	2439	2004	12	26		TANZANIA		KOUNGOU, EAST, MAYOTTE	-12.7348	45.20755	60	5872			2.95		5												
19744	2439	2004	12	26		TANZANIA		MTSANGAMBOUA, MAYOTTE	-12.69002	45.11142	60	5881			2		5												
19745	2439	2004	12	26		TANZANIA		MTSAHARA, MAYOTTE	-12.68162	45.08042	60	5884			2.95		5												
19746	2439	2004	12	26		TANZANIA		HAMJAGO, MAYOTTE	-12.68767	45.07335	60	5885			1		5												
19747	2439	2004	12	26		TANZANIA		MTSAMBORO, MAYOTTE	-12.69817	45.06762	60	5886			1.25		5												
19748	2439	2004	12	26		TANZANIA		MTSANGADOUA, MAYOTTE	-12.71112	45.05005	60	5888			2.9		5												
19749	2439	2004	12	26		TANZANIA		ACOUA, MAYOTTE	-12.72528	45.05615	60	5887			2.4		5												
19750	2439	2004	12	26		TANZANIA		CHICONI, MAYOTTE	-12.8364	45.11225	60	5885			2.45		5												
19751	2439	2004	12	26		TANZANIA		SADA, MAYOTTE	-12.84942	45.09867	60	5886			1.3		5												
19752	2439	2004	12	26		TANZANIA		BOUÉNI, MAYOTTE	-12.90602	45.07742	60	5890			3.3		5												
19753	2439	2004	12	26		TANZANIA		MZOUAZIA, MAYOTTE	-12.92863	45.10238	60	5888			1.3		5												
9565	2439	2004	12	26		BRAZIL		ARRAIAL DO CABO	-22.973	-42.012	71	14989			.5		2												
9564	2439	2004	12	26		BRAZIL		IMBITUBA PORT, SANTA CATARINA	-28.217	-48.65	71	15353			.6		2	30											
9651	2439	2004	12	26		MYANMAR (BURMA)		MAUNGMAGAN BEACH	14.144	98.091	60	1229			1.8		5												
9652	2439	2004	12	26		MYANMAR (BURMA)		THABAWSEIK-KYAUKSENT VILLAGE	14.106	98.098	60	1225			1.6		5												
9653	2439	2004	12	26		MYANMAR (BURMA)		MYAW YIT GYI PAGODA	14.088	98.07	60	1223			1.4		5												
9654	2439	2004	12	26		MYANMAR (BURMA)		SANN LAN VILLAGE	13.94	98.076	60	1207			2.9		5												
9655	2439	2004	12	26		MYANMAR (BURMA)		KYET LUT BEACH	13.559	98.14	60	1167			1.9		5												
9656	2439	2004	12	26		MYANMAR (BURMA)		KYAUKMATTAT VILLAGE	13.581	98.151	60	1169			.9		5												
9657	2439	2004	12	26		MYANMAR (BURMA)		NYAWBYIN VILLAGE	13.635	98.146	60	1175			2		5												
9658	2439	2004	12	26		MYANMAR (BURMA)		PALAUTONTON ISLAND	10.026	98.512	60	802			2.5		5			1	1								1
9659	2439	2004	12	26		MYANMAR (BURMA)		YWARTHAYA VILLAGE, SALONLAY ISLAND	10.007	98.48	60	799			1.8		5												
9660	2439	2004	12	26		MYANMAR (BURMA)		DOLPHIN CLUB, SALON ISLAND	9.99	98.488	60	797			.4		5												
9661	2439	2004	12	26		MYANMAR (BURMA)		KONNAMAING CHAUNGWA VILLAGE	10.036	98.524	60	803			1.9		5			1	1				1			8	1
9662	2439	2004	12	26		MYANMAR (BURMA)		TANNYOPADA VILLAGE	10.093	98.515	60	809			1.7		5												
9664	2439	2004	12	26		MYANMAR (BURMA)		MYOMA JETTY, KAWTHAUNG	9.978	98.553	60	799			1.6		5												
9665	2439	2004	12	26		MYANMAR (BURMA)		THANDER KYUN VILLAGE	12.494	98.515	60	1062			.7		5												
9666	2439	2004	12	26		MYANMAR (BURMA)		PAHTAW VILLAGE	12.449	98.587	60	1059			2.2		5												
